# ID        V        eV      rV_1     VR      eVR     VI      eVI     col2        col3       Plx       pmRA      pmDE     
  5212242   11.573   0.002   -0.506   0.86    0.003   1.965   0.003   80.343424   8.357003   1.4348    10.732    -19.981  
  5211957   18.361   0.292   -1.358   0.856   0.366   2.087   0.386   80.331571   8.323506   0.7773    1.441     -8.229   
  5212065   16.952   0.09    -0.381   1.162   0.107   2.497   0.103   80.336042   7.527556   -0.7108   0.279     -0.793   
  5211996   17.274   0.112   -1.557   1.266   0.132   2.567   0.132   80.333205   8.252588   1.1516    -2.639    -5.618   
  5211764   15.255   0.02    -1.061   1.01    0.025   2.267   0.026   80.32351    8.352554   1.1536    13.581    4.926    
  5211656   18.14    0.225   -1.106   1.225   0.257   2.258   0.287   80.319018   8.347013   0.0901    4.171     0.364    
  5214159   18.533   0.313   -1.908   1.263   0.361   2.924   0.334   80.423304   8.34162    0.4537    0.725     -4.603   
  5213941   17.426   0.118   -2.2     1.134   0.136   2.242   0.145   80.414247   7.587661   0.9391    15.07     -32.929  
  5213769   18.148   0.226   -4.701   0.724   0.307   2.31    0.267   80.407076   7.905816   0.5046    1.439     -5.78    
  5213687   18.56    0.323   -1.578   1.536   0.359   2.823   0.36    80.403651   8.342365   -0.6265   6.125     -5.471   
  5213671   17.019   0.084   -3.047   1.385   0.093   3.204   0.088   80.402981   8.360568   0.8795    -3.696    -8.333   
  5213903   18.538   0.333   -2.028   1.077   0.387   3.174   0.344   80.412641   8.362349   1.5318    -0.001    -1.324   
  5214145   15.067   0.018   -1.175   1.108   0.022   2.356   0.022   80.422729   8.334636   1.8371    -5.904    6.404    
  5213421   18.378   0.277   -2.665   0.738   0.383   2.586   0.322   80.392563   8.370138   1.2585    8.307     -14.935  
  5214104   16.144   0.042   -1.375   1.092   0.05    2.457   0.049   80.421017   8.332661   0.8611    2.166     -7.85    
  5214065   15.95    0.032   0.488    0.862   0.041   2.027   0.044   80.419388   7.997028   -0.0923   -3.016    -3.442   
  5213566   16.588   0.059   -3.28    1.224   0.068   2.727   0.066   80.398614   7.618142   2.696     8.156     6.187    
  5213374   17.018   0.076   -0.846   0.944   0.102   2.167   0.101   80.390612   8.319707   0.5458    0.145     0.493    
  5213039   18.234   0.259   -2.287   1.531   0.28    3.018   0.274   80.37664    8.373638   0.5189    -1.97     -10.893  
  5213087   14.897   0.015   -0.527   0.916   0.019   2.021   0.021   80.378651   8.327513   1.0436    -2.54     -8.757   
  5213123   18.015   0.174   -1.297   0.759   0.25    2.285   0.223   80.380145   8.339122   1.7605    1.439     -3.518   
  5215116   17.699   0.151   -1.763   1.662   0.161   2.915   0.163   80.463207   8.369748   0.9472    -1.687    -3.265   
  5214948   16.888   0.066   -0.392   0.918   0.091   1.904   0.104   80.456193   8.328858   0.1578    3.748     -2.106   
  5215011   17.838   0.168   -1.139   0.915   0.204   2.144   0.223   80.458815   8.372644   0.9665    5.439     -1.45    
  5215218   14.676   0.013   -0.496   0.847   0.017   1.955   0.018   80.467447   8.361673   1.0138    1.23      -0.481   
  5215180   16.378   0.043   -0.083   0.702   0.063   1.707   0.07    80.465835   8.368695   0.2475    0.553     -7.391   
  5215197   16.536   0.064   -0.235   0.919   0.076   1.972   0.082   80.466542   8.371987   -0.1347   3.365     -2.932   
  5215224   18.381   0.297   -1.765   0.614   0.399   2.73    0.323   80.4677     8.331803   11.8629   20.367    -9.817   
  5215283   16.027   0.039   -0.825   1.029   0.047   2.121   0.049   80.470157   8.328054   -1.7469   -3.65     2.932    
  5214939   14.929   0.015   -0.111   0.77    0.021   1.772   0.023   80.455818   8.363336   0.479     3.481     1.056    
  5215894   16.892   0.079   -0.477   0.979   0.097   1.995   0.11    80.495616   8.360863   0.3941    -1.737    -2.389   
  5215296   17.561   0.132   -2.521   1.462   0.151   3.318   0.137   80.470694   8.354345   2.1799    -7.287    -3.181   
  5215824   15.559   0.026   -0.44    0.817   0.035   1.935   0.037   80.492667   8.372919   0.7153    3.711     1.537    
  5215992   16.593   0.056   -0.336   0.687   0.081   1.773   0.094   80.499702   8.335924   0.1219    -2.139    1.223    
  5215975   17.312   0.111   -0.934   0.927   0.142   2.187   0.137   80.498995   8.313613   0.0118    2.683     -4.476   
  5215634   15.649   0.032   -0.339   0.841   0.041   1.881   0.043   80.484759   8.35511    0.6089    0.879     -4.827   
  5215301   18.319   0.286   -1.431   0.493   0.424   2.433   0.328   80.470896   8.350231   0.5198    5.123     -5.272   
  5215546   17.038   0.093   -0.932   1.039   0.116   2.187   0.112   80.481121   8.321996   0.471     4.528     -0.908   
  5215339   17.664   0.152   -1.244   1.112   0.186   2.311   0.186   80.472492   8.341101   0.5353    -0.623    2.104    
  5215325   17.321   0.124   -0.112   0.717   0.161   1.866   0.168   80.471914   8.361937   -0.0498   -0.203    0.645    
  5214924   15.983   0.034   0.092    0.679   0.047   1.594   0.053   80.45519    8.315661   -0.1562   0.934     -0.16    
  5214936   17.49    0.113   -0.775   0.969   0.15    2.204   0.149   80.455672   8.341977   0.3706    4.509     -0.563   
  5214876   17.298   0.094   -0.734   0.538   0.143   1.49    0.176   80.453188   8.357597   0.275     0.198     -1.677   
  5214682   14.112   0.009   -0.918   0.976   0.011   2.196   0.012   80.445123   8.364934   1.474     6.928     -4.641   
  5214552   16.682   0.066   -0.991   1.173   0.075   2.376   0.078   80.439678   8.332062   0.9001    3.834     -10.23   
  5214568   16.172   0.039   -0.838   1.005   0.05    2.192   0.049   80.440357   8.33352    0.6106    -3.195    -7.763   
  5214781   16.3     0.042   -0.671   0.996   0.053   2.137   0.056   80.449214   8.355926   0.2994    -2.119    2.607    
  5214591   18.738   0.387   -2.767   1.721   0.408   3.467   0.397   80.441296   8.36024    1.7116    2.706     8.034    
